Course,Description,Section,Date Times,Instructors
EDPY 521 - Foundations of Psychological Assessment,This course deals with psychological and psycho-educational assessment and covers the basic principles and skills needed to administer and interpret standardized measures of cognitive abilities and academic achievement. Restricted to students enrolled in the School and Clinical Child Psychology or Counselling Psychology programs. Requires payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.,LECTURE B01 (47809),2023-01-05 - 2023-04-12 T 13:00 - 15:50 (ED 1-152),Phillip Sevigny
EDPY 526 - Career Counselling: Theory and Practice,"This course will examine lifespan career development as a dynamic and holistic enterprise. Topics include theories and techniques of career development, assessment, work-life issues, career-life decision-making and life transitions, with a focus on the practice of career counselling for diverse populations. Restricted to students in the School Counselling, Counselling Psychology, and School and Clinical Child Psychology Master's and Doctoral Programs. Students in other programs may take this course with consent of the Department.",LECTURE B01 (48443),2023-01-05 - 2023-04-12 H 13:00 - 15:50 (ED 213),Rebecca Hudson Breen
EDPY 527 - School and Clinical Based Intervention,"This course provides an introduction to academic, behavioural, social, emotional, and counselling intervention with a particular focus on their application to school and clinical settings for use with children and adolescents. Restricted to students enrolled in the School and Clinical Child Psychology or Counselling Psychology programs. Prerequisites: EDPY 507 and EDPY 536 or equivalents.",LECTURE B01 (47810),2023-01-05 - 2023-04-12 H 13:00 - 15:50 (ED 1-152),Melissa Tremblay
EDPY 527 - School and Clinical Based Intervention,"This course provides an introduction to academic, behavioural, social, emotional, and counselling intervention with a particular focus on their application to school and clinical settings for use with children and adolescents. Restricted to students enrolled in the School and Clinical Child Psychology or Counselling Psychology programs. Prerequisites: EDPY 507 and EDPY 536 or equivalents.",LAB H01 (47811),No scheduled class times,Melissa Tremblay
EDPY 534 - Foundations of Counselling Psychology: Theory and Clinical Practice II,This course is a continuation of EDPY 533. Restricted to students enrolled in the Counselling Psychology program. Prerequisite: EDPY 533.,LECTURE B01 (42767),2023-01-05 - 2023-04-12 T 13:00 - 15:50 (ED 1-141H),Jessica Van Vliet
EDPY 534 - Foundations of Counselling Psychology: Theory and Clinical Practice II,This course is a continuation of EDPY 533. Restricted to students enrolled in the Counselling Psychology program. Prerequisite: EDPY 533.,LAB H01 (42768),No scheduled class times,Jessica Van Vliet
EDPY 534 - Foundations of Counselling Psychology: Theory and Clinical Practice II,This course is a continuation of EDPY 533. Restricted to students enrolled in the Counselling Psychology program. Prerequisite: EDPY 533.,LAB H02 (42769),No scheduled class times,Jessica Van Vliet
EDPY 534 - Foundations of Counselling Psychology: Theory and Clinical Practice II,This course is a continuation of EDPY 533. Restricted to students enrolled in the Counselling Psychology program. Prerequisite: EDPY 533.,SEMINAR J01 (42770),2023-01-05 - 2023-04-12 H 13:00 - 15:50 (ED 1-126),Taymy Caso
EDPY 542 - Cross-Cultural Counselling,"Designed to establish a theoretical and practical understanding of the factors that influence the nature and effectiveness of the cross-cultural counselling process. Includes multicultural counselling competencies, ethics in cross-cultural counselling interactions, models of racial and cultural identity development, multicultural assessment procedures, and culture-specific (emic) and universal (etic) helping styles. Priority given to students enrolled in the School and Clinical Child Psychology, Counselling Psychology or Teaching English as a Second Language programs or consent of Department.",LECTURE 850 (49252) ONLINE,2023-01-05 - 2023-04-12 F 09:00 - 11:50,Noorfarah Merali
EDPY 550B - School Counselling Practicum,Practicum course consists of a supervised school counselling field placement as well as a clinic-based instructional seminar that focuses on professional and clinical issues related to the practicum experience. Restricted to students enrolled in the School Counselling program.,LAB 901 (49251) ONLINE,No scheduled class times,Noorfarah Merali
EDPY 550B - School Counselling Practicum,Practicum course consists of a supervised school counselling field placement as well as a clinic-based instructional seminar that focuses on professional and clinical issues related to the practicum experience. Restricted to students enrolled in the School Counselling program.,SEMINAR 900 (49250) ONLINE,2023-01-05 - 2023-04-12 S 09:00 - 12:00,Noorfarah Merali
EDPY 551 - Counselling Children and Adolescents: Theory and Practice in Clinical and School Settings,"This course examines therapeutic approaches for working with children and adolescents in clinical and school settings. The course emphasizes methods of integrating and applying systemic, developmental, and individual theories to assessment and intervention with children, adolescents, and their families. Restricted to course-based MEd students in School Counselling. Students in other Counselling Psychology and School and Clinical Child Psychology Master's and Doctoral Programs may take this course with consent of the Department.",LECTURE B02 (49742),2023-01-05 - 2023-04-12 S 14:00 - 16:50 (ED 1-152),Yuliya Kotelnikova
EDPY 552 - Autism: Assessment and Intervention,This course will provide an overview of learning and perceptual processes and current empirically based assessment and intervention supports relevant to autism.,LECTURE 850 (48714) ONLINE,2023-01-05 - 2023-04-12 W 17:00 - 20:00,Veronica Smith
EDPY 553B - Oral Language Difficulties: From Assessment to Intervention,"This course provides an understanding of child language development, theories, and the relationship between oral language ability, reading, spelling and writing. Restricted to course-based MEd Special Education Cohort students. EDPY 553 is the 3rd course in the prescribed sequence following EDPY 556 and EDPY 501. Students will not receive credit for both EDPY 597: Oral Language Difficulties: From Assessment to Intervention and EDPY 553.",LECTURE 900 (47816) ONLINE,2023-01-10 - 2023-02-14 T 17:00 - 21:00,Denyse Hayward
EDPY 553B - Oral Language Difficulties: From Assessment to Intervention,"This course provides an understanding of child language development, theories, and the relationship between oral language ability, reading, spelling and writing. Restricted to course-based MEd Special Education Cohort students. EDPY 553 is the 3rd course in the prescribed sequence following EDPY 556 and EDPY 501. Students will not receive credit for both EDPY 597: Oral Language Difficulties: From Assessment to Intervention and EDPY 553.",LECTURE 901 (49134) ONLINE,2023-01-11 - 2023-02-15 W 17:00 - 21:00,Denyse Hayward
EDPY 575 - Teaching English as a Second Language (TESL) Supervised Practicum,This practicum is designed to provide EDPY TESL Master's students with an opportunity to observe and teach in an established ESL program for adults. Restricted to EDPY TESL Master's students.,LECTURE B01 (42647),2023-01-05 - 2023-04-12 TWH 09:30 - 12:20 (ED 2-101),Jennifer Foote
EDPY 575 - Teaching English as a Second Language (TESL) Supervised Practicum,This practicum is designed to provide EDPY TESL Master's students with an opportunity to observe and teach in an established ESL program for adults. Restricted to EDPY TESL Master's students.,LAB H01 (42648),No scheduled class times,Jennifer Foote
EDPY 577 - Word Reading Difficulties: From Assessment to Intervention,This course provides an understanding of word reading development and difficulties from the cognitive and educational psychology point of views. Restricted to course-based MEd Special Education Cohort students. EDPY 577 is the 4th course in the prescribed sequence. Prerequisite: EDPY 553. Students will not receive credit for both EDPY 597: Word Reading Difficulties: From Assessment to Intervention and EDPY 577.,LECTURE 850 (47817) ONLINE,2023-02-28 - 2023-04-25 T 17:00 - 21:00,Lesly Wade-Woolley
EDPY 577 - Word Reading Difficulties: From Assessment to Intervention,This course provides an understanding of word reading development and difficulties from the cognitive and educational psychology point of views. Restricted to course-based MEd Special Education Cohort students. EDPY 577 is the 4th course in the prescribed sequence. Prerequisite: EDPY 553. Students will not receive credit for both EDPY 597: Word Reading Difficulties: From Assessment to Intervention and EDPY 577.,LECTURE 851 (49135) ONLINE,2023-03-01 - 2023-04-26 W 17:00 - 21:00,Lesly Wade-Woolley
EDPY 593 - ESL Assessment and Evaluation,Introduction to assessment practices and procedures in ESL/EFL. Prerequisite: LING 101.,LECTURE X50 (47819),2023-01-05 - 2023-04-12 M 17:00 - 20:00 (ED 262),Marilyn Abbott
EDPY 594 - Teaching Pronunciation to ESL Learners,Introduction to relevant research and specific classroom teaching strategies. Prerequisite: EDPY 416.,LECTURE X50 (47820),2023-01-05 - 2023-04-12 H 17:00 - 20:00 (ED 2-101),Jennifer Foote
EDPY 597 - Special Seminars,Content varies from year to year. Topics announced prior to registration period. The student's transcript carries title descriptive of content. May be repeated.,LECTURE 850 (42020) ONLINE,2023-01-05 - 2023-04-12 M 17:00 - 20:00,Mike Carbonaro
EDPY 597 - Special Seminars,Content varies from year to year. Topics announced prior to registration period. The student's transcript carries title descriptive of content. May be repeated.,LECTURE B02 (47013),2023-01-05 - 2023-04-12 W 09:00 - 11:50 (ED 1-152),Phillip Sevigny
EDPY 597 - Special Seminars,Content varies from year to year. Topics announced prior to registration period. The student's transcript carries title descriptive of content. May be repeated.,LAB 851 (42021) ONLINE,No scheduled class times,Mike Carbonaro
EDPY 597 - Special Seminars,Content varies from year to year. Topics announced prior to registration period. The student's transcript carries title descriptive of content. May be repeated.,LAB H01 (47015),No scheduled class times,Phillip Sevigny
EDPY 599 - Individual Directed Reading and Research,Prerequisite: consent of Department.,LECTURE 850 (42797),No scheduled class times,
EDPY 599 - Individual Directed Reading and Research,Prerequisite: consent of Department.,LECTURE B01 (42615),No scheduled class times,
EDPY 599 - Individual Directed Reading and Research,Prerequisite: consent of Department.,LECTURE B02 (42628),No scheduled class times,
EDPY 601 - Advanced Doctoral Research Seminar,"This course is designed to provide doctoral students with a forum to gain skills and discuss topics related to conducting theoretical and applied research relevant to the practice of psychology. Prerequisite: EDPY 501, EDPY 505 or EDPY 503.",LECTURE B01 (47885),2023-01-05 - 2023-04-12 W 09:00 - 11:50 (ED 177),Lia Daniels
EDPY 605 - Quantitative Methods II,"This course will introduce students to advanced statistical techniques that are frequently used in data analysis in the social sciences. Selected topics such as multiple regression, MANOVA, canonical correlation, principal component analysis, and factor analysis will be covered. Prerequisite: EDPY 505 or equivalent.",LECTURE B01 (47429),2023-01-05 - 2023-04-12 T 12:30 - 15:20 (ED 6-138),Ying Cui
EDPY 605 - Quantitative Methods II,"This course will introduce students to advanced statistical techniques that are frequently used in data analysis in the social sciences. Selected topics such as multiple regression, MANOVA, canonical correlation, principal component analysis, and factor analysis will be covered. Prerequisite: EDPY 505 or equivalent.",LAB H01 (47430),2023-01-05 - 2023-04-12 H 12:30 - 15:20 (ED 155B),Ying Cui
EDPY 607 - Measurement Theory II,"This course will focus on advanced topics and applications required to develop, administer, and use educational and psychological assessments. Emphasis will be placed on the application of theoretical concepts necessary for solving practical assessment problems. Prerequisite: EDPY 507 or equivalent. Formerly EDPY 508. Students cannot receive credit for both EDPY 508 and EDPY 607.",LECTURE B01 (47972),2023-01-05 - 2023-04-12 H 09:30 - 12:20 (ED 303),Okan Bulut
EDPY 616 - Achievement Motivation,This course provides a general overview of human motivation from a psychological perspective. Students may not receive credit for both EDPY 616 and EDPY 597/697 topic of Academic Motivation.,LECTURE B01 (47973),2023-01-05 - 2023-04-12 W 13:00 - 15:50 (ED 6-138),Lia Daniels
EDPY 630B - Counselling Psychology Internship,"Students in the Doctoral Counselling Program must successfully complete a 1,600 hour internship accredited by the Canadian Psychological Association (or equivalent). Students must complete pre-session study seminars related to the internship application process, interviewing skills, and ranking of internship sites/decision making. Students are expected to participate in the Association of Psychology Postdoctoral and Internship Centers (APPIC) matching process. Prerequisites: Consent of Department, completion of required coursework and completion of doctoral candidacy exam.",LECTURE/LAB 800 (42680),No scheduled class times,William Whelton
EDPY 630B - Counselling Psychology Internship,"Students in the Doctoral Counselling Program must successfully complete a 1,600 hour internship accredited by the Canadian Psychological Association (or equivalent). Students must complete pre-session study seminars related to the internship application process, interviewing skills, and ranking of internship sites/decision making. Students are expected to participate in the Association of Psychology Postdoctoral and Internship Centers (APPIC) matching process. Prerequisites: Consent of Department, completion of required coursework and completion of doctoral candidacy exam.",LECTURE/LAB C01 (42616),No scheduled class times,William Whelton
EDPY 632 - History and Systems of Psychology,Provides a historical examination of the philosophical and scientific development of the discipline of psychology. Priority given to PhD students enrolled in the Counselling Psychology program.,LECTURE B01 (42679),2023-01-05 - 2023-04-12 W 09:00 - 11:50 (ED 6-138),William Whelton
EDPY 634 - Advanced Counselling Practicum,"This doctoral level Practicum is a continuation of EDPY 633, prerequisite: EDPY 633.",LECTURE B01 (42694),2023-01-05 - 2023-04-12 M 13:00 - 15:50 (ED 1-141H),William Whelton
EDPY 634 - Advanced Counselling Practicum,"This doctoral level Practicum is a continuation of EDPY 633, prerequisite: EDPY 633.",LAB H01 (42695),No scheduled class times,William Whelton
EDPY 634 - Advanced Counselling Practicum,"This doctoral level Practicum is a continuation of EDPY 633, prerequisite: EDPY 633.",SEMINAR J01 (42696),2023-01-05 - 2023-04-12 M 11:00 - 11:50 (ED 1-141H),William Whelton
EDPY 635 - Counselling Speciality: Theory and Practice,Prerequisite: EDPY 633 or equivalent.,LECTURE B01 (42790),2023-01-05 - 2023-04-12 W 14:00 - 16:50 (ED 1-141H),Rebecca Hudson Breen
EDPY 635 - Counselling Speciality: Theory and Practice,Prerequisite: EDPY 633 or equivalent.,LAB H01 (42791),No scheduled class times,Rebecca Hudson Breen
EDPY 635 - Counselling Speciality: Theory and Practice,Prerequisite: EDPY 633 or equivalent.,SEMINAR J01 (42792),2023-01-05 - 2023-04-12 W 13:00 - 13:50 (ED 1-141H),Rebecca Hudson Breen
EDPY 645B - SCCP School Practicum Placement,"School setting practicum in School and Clinical Child Psychology. This doctoral level practicum is designed to provide students with practical, supervised experiences in both assessment and intervention in school settings. Pre/corequisite: EDPY 641. Restricted to PhD students enrolled in the School and Clinical Child Psychology program.",CLINICAL C01 (42794),No scheduled class times,Jacqueline Pei
EDPY 647B - SCCP Clinical Practicum Placement,"Clinical setting practicum in School and Clinical Child Psychology. This supervised doctoral level practicum is designed to provide students with advanced assessment and intervention experience with children and adolescents in hospital clinics, children's mental health centres or clinical child and adolescent community settings. Pre/corequisite: EDPY 643. Prerequisites: EDPY 641 and EDPY 645. Restricted to PhD students enrolled in the School and Clinical Child Psychology program.",CLINICAL C01 (42795),No scheduled class times,Jacqueline Pei
EDPY 650B - School and Clinical Child Psychology Internship,"A supervised training program designed to provide students in the doctoral program in School and Clinical Child Psychology with a planned, programmed sequence of training experience. Students must successfully complete an approved 1,600 hour internship. Restricted to students enrolled in the School and Clinical Child Psychology doctoral program. Prerequisites: Consent of Department, successful completion of coursework and candidacy exam.",LECTURE/LAB 800 (42681),No scheduled class times,Jacqueline Pei
EDPY 650B - School and Clinical Child Psychology Internship,"A supervised training program designed to provide students in the doctoral program in School and Clinical Child Psychology with a planned, programmed sequence of training experience. Students must successfully complete an approved 1,600 hour internship. Restricted to students enrolled in the School and Clinical Child Psychology doctoral program. Prerequisites: Consent of Department, successful completion of coursework and candidacy exam.",LECTURE/LAB C01 (42639),No scheduled class times,Jacqueline Pei
EDPY 697 - Special Seminars,Content varies from year to year. Topics announced prior to registration period. The student's transcript carries title descriptive of content. May be repeated.,LECTURE 850 (50170),2023-01-05 - 2023-04-12 W 16:30 - 19:20 (Location TBD),Phillip Sevigny
EDPY 699 - Individual Directed Reading and Research,Prerequisite: consent of Department.,LECTURE 850 (42780),No scheduled class times,
EDPY 699 - Individual Directed Reading and Research,Prerequisite: consent of Department.,LECTURE 851 (49961) ONLINE,No scheduled class times,
EDPY 699 - Individual Directed Reading and Research,Prerequisite: consent of Department.,LECTURE B01 (42617),No scheduled class times,
EDPY 699 - Individual Directed Reading and Research,Prerequisite: consent of Department.,LECTURE B02 (42779),No scheduled class times,
EDPY 699 - Individual Directed Reading and Research,Prerequisite: consent of Department.,LECTURE B03 (49962),No scheduled class times,
EDPY 903 - Directed Research Project,No scheduled class times,LECTURE 850 (46954) ONLINE,No scheduled class times,Mark Gierl
EDPY 903 - Directed Research Project,No scheduled class times,LECTURE 851 (40844) ONLINE,No scheduled class times,
EDPY 903 - Directed Research Project,No scheduled class times,LECTURE 852 (49768) ONLINE,No scheduled class times,Sharla King
EDPY 903 - Directed Research Project,No scheduled class times,LECTURE B01 (42771),2023-01-05 - 2023-04-12 F 13:30 - 16:20 (ECHA 1-451),Gwendolyn Villebrun
EDPY 903 - Directed Research Project,No scheduled class times,LAB H01 (45610),No scheduled class times,Gwendolyn Villebrun
EDSE 305 - Curriculum and Teaching in Secondary Schools,"This course is intended to help educators learn about themselves as a secondary school teacher, planning for teaching in a secondary school, ideas and policies that impact the planning for teaching in a secondary school; and their role in contributing to the teaching profession. Pre/corequisites: EDU 100 or 300, 210, 211. Note: EDSE 305 is not open to first year students.",LECTURE X50 (40857),2023-01-05 - 2023-04-12 M 17:00 - 20:00 (ED 306),TJ Dust
"EDSE 307 - Language, Literacy and Society in Educational Contexts","Prerequisites: *9 in the Major subject area, EDPY 304, EDU 100/300, 210, and 211. Corequisite: Courses in the Introductory Professional Term (IPT) for the Secondary Education Route. Successful completion of the on-campus portion of the IPT is expected prior to being granted permission to continue into EDFX 350. EDSE 307 is designed to prepare teachers to develop English language and literacy abilities in learners in grades 7 through 12, particularly diverse and minority learners. Note: Not open to first year students.",LECTURE R01 (42706) ONLINE,No scheduled class times,Ava Becker
"EDSE 307 - Language, Literacy and Society in Educational Contexts","Prerequisites: *9 in the Major subject area, EDPY 304, EDU 100/300, 210, and 211. Corequisite: Courses in the Introductory Professional Term (IPT) for the Secondary Education Route. Successful completion of the on-campus portion of the IPT is expected prior to being granted permission to continue into EDFX 350. EDSE 307 is designed to prepare teachers to develop English language and literacy abilities in learners in grades 7 through 12, particularly diverse and minority learners. Note: Not open to first year students.",LECTURE R02 (42709) ONLINE,No scheduled class times,Ava Becker
"EDSE 307 - Language, Literacy and Society in Educational Contexts","Prerequisites: *9 in the Major subject area, EDPY 304, EDU 100/300, 210, and 211. Corequisite: Courses in the Introductory Professional Term (IPT) for the Secondary Education Route. Successful completion of the on-campus portion of the IPT is expected prior to being granted permission to continue into EDFX 350. EDSE 307 is designed to prepare teachers to develop English language and literacy abilities in learners in grades 7 through 12, particularly diverse and minority learners. Note: Not open to first year students.",SEMINAR T01 (42707),2023-01-05 - 2023-03-10 M 09:00 - 10:50 (ED 213),Miranda Niebergall
"EDSE 307 - Language, Literacy and Society in Educational Contexts","Prerequisites: *9 in the Major subject area, EDPY 304, EDU 100/300, 210, and 211. Corequisite: Courses in the Introductory Professional Term (IPT) for the Secondary Education Route. Successful completion of the on-campus portion of the IPT is expected prior to being granted permission to continue into EDFX 350. EDSE 307 is designed to prepare teachers to develop English language and literacy abilities in learners in grades 7 through 12, particularly diverse and minority learners. Note: Not open to first year students.",SEMINAR T02 (42708),2023-01-05 - 2023-03-10 W 09:00 - 10:50 (ED 265),Tina Wasilik
"EDSE 307 - Language, Literacy and Society in Educational Contexts","Prerequisites: *9 in the Major subject area, EDPY 304, EDU 100/300, 210, and 211. Corequisite: Courses in the Introductory Professional Term (IPT) for the Secondary Education Route. Successful completion of the on-campus portion of the IPT is expected prior to being granted permission to continue into EDFX 350. EDSE 307 is designed to prepare teachers to develop English language and literacy abilities in learners in grades 7 through 12, particularly diverse and minority learners. Note: Not open to first year students.",SEMINAR T03 (42744),2023-01-05 - 2023-03-10 W 09:00 - 10:50 (ED 107),Adriana Boffa
"EDSE 307 - Language, Literacy and Society in Educational Contexts","Prerequisites: *9 in the Major subject area, EDPY 304, EDU 100/300, 210, and 211. Corequisite: Courses in the Introductory Professional Term (IPT) for the Secondary Education Route. Successful completion of the on-campus portion of the IPT is expected prior to being granted permission to continue into EDFX 350. EDSE 307 is designed to prepare teachers to develop English language and literacy abilities in learners in grades 7 through 12, particularly diverse and minority learners. Note: Not open to first year students.",SEMINAR T05 (42710),2023-01-05 - 2023-03-10 T 12:30 - 14:20 (ED 170),Rahmawaty Kadir
"EDSE 307 - Language, Literacy and Society in Educational Contexts","Prerequisites: *9 in the Major subject area, EDPY 304, EDU 100/300, 210, and 211. Corequisite: Courses in the Introductory Professional Term (IPT) for the Secondary Education Route. Successful completion of the on-campus portion of the IPT is expected prior to being granted permission to continue into EDFX 350. EDSE 307 is designed to prepare teachers to develop English language and literacy abilities in learners in grades 7 through 12, particularly diverse and minority learners. Note: Not open to first year students.",SEMINAR T06 (42711),2023-01-05 - 2023-03-10 H 12:30 - 14:20 (ED 262),Kelly Gibbs
EDSE 327 - Curriculum and Teaching for Secondary School English Language Arts Majors I,"Prerequisites: *9 in the Major subject area, EDPY 304, EDU 100/300, 210, and 211. Corequisite: Courses in the Introductory Professional Term (IPT) for the Secondary Education Route. Successful completion of the on-campus portion of the IPT is expected prior to being granted permission to continue into EDFX 350. Note: Not open to first year students.",LECTURE R01 (42650),2023-01-05 - 2023-03-10 MW 14:00 - 16:20 (ED 1-126),Teta Engram
EDSE 327 - Curriculum and Teaching for Secondary School English Language Arts Majors I,"Prerequisites: *9 in the Major subject area, EDPY 304, EDU 100/300, 210, and 211. Corequisite: Courses in the Introductory Professional Term (IPT) for the Secondary Education Route. Successful completion of the on-campus portion of the IPT is expected prior to being granted permission to continue into EDFX 350. Note: Not open to first year students.",LECTURE R02 (42666),2023-01-05 - 2023-03-10 MW 14:00 - 16:20 (ED 177),William Howe
EDSE 328 - Curriculum and Teaching for Secondary School English Language Arts Minors,"Prerequisite: *9 in the Minor subject area; pre/corequisites: EDU 100 or 300, EDU 210, and EDU 211. Note: EDSE 328 is not open to first year students or students whose Major is English Language Arts.",LECTURE R01 (42655),2023-01-05 - 2023-03-10 MW 14:00 - 16:20 (ED 1-126),Teta Engram
EDSE 328 - Curriculum and Teaching for Secondary School English Language Arts Minors,"Prerequisite: *9 in the Minor subject area; pre/corequisites: EDU 100 or 300, EDU 210, and EDU 211. Note: EDSE 328 is not open to first year students or students whose Major is English Language Arts.",LECTURE R02 (42699),2023-01-05 - 2023-03-10 MW 14:00 - 16:20 (ED 177),William Howe
EDSE 337 - Curriculum and Teaching for Secondary School Mathematics Majors I,"Prerequisites: *9 in the Major subject area, EDPY 304, EDU 100/300, 210, and 211. Corequisite: Courses in the Introductory Professional Term (IPT) for the Secondary Education Route. Successful completion of the on-campus portion of the IPT is expected prior to being granted permission to continue into EDFX 350. Note: Not open to first year students.",LECTURE R01 (42618),2023-01-05 - 2023-03-10 MW 14:00 - 16:20 (ED 934),Shannon Sookochoff
EDSE 338 - Curriculum and Teaching for Secondary School Mathematics Minors,"Prerequisite: *9 in the Minor subject area; pre/corequisite: EDU 100 or 300, EDU 210, and EDU 211. Note: EDSE 338 is not open to first year students or students whose Major is Mathematics.",LECTURE R01 (42656),2023-01-05 - 2023-03-10 MW 14:00 - 16:20 (ED 934),Shannon Sookochoff
EDSE 347 - Curriculum and Teaching for Secondary School Physical Education Majors I,"Prerequisites: *9 in the Major subject area, EDPY 304, EDU 100/300, 210, and 211. Corequisite: Courses in the Introductory Professional Term (IPT) for the Secondary Education Route. Successful completion of the on-campus portion of the IPT is expected prior to being granted permission to continue into EDFX 350. Note: Not open to first year students.",LECTURE R01 (42651),2023-01-05 - 2023-03-10 MW 14:00 - 16:20 (ED 164) 2023-01-05 - 2023-03-10 MW 14:00 - 16:20 (ED GYM),Jodi Harding-Kuriger
EDSE 348 - Curriculum and Teaching for Secondary School Physical Education Minors,"Prerequisite: *9 in the Minor subject area; pre/corequisites: EDU 100 or 300, EDU 210, and EDU 211. Note: EDSE 348 is not open to first year students or students whose Major is Physical Education.",LECTURE R01 (42675),2023-01-05 - 2023-03-10 MW 14:00 - 16:20 (ED 164) 2023-01-05 - 2023-03-10 MW 14:00 - 16:20 (ED GYM),Jodi Harding-Kuriger
EDSE 355 - Curriculum and Teaching for Secondary School Science Majors I,"Prerequisites: *9 in the Major subject area, EDPY 304, EDU 100/300, 210, and 211. Corequisite: Courses in the Introductory Professional Term (IPT) for the Secondary Education Route. Successful completion of the on-campus portion of the IPT is expected prior to being granted permission to continue into EDFX 350. Note: Not open to first year students. Students may only receive credit for one of EDSE 352, EDSE 355, EDSE 360, or EDSE 364.",LECTURE R01 (45564),2023-01-05 - 2023-03-10 MW 14:00 - 16:20 (ED 358),Kerry Rose
EDSE 355 - Curriculum and Teaching for Secondary School Science Majors I,"Prerequisites: *9 in the Major subject area, EDPY 304, EDU 100/300, 210, and 211. Corequisite: Courses in the Introductory Professional Term (IPT) for the Secondary Education Route. Successful completion of the on-campus portion of the IPT is expected prior to being granted permission to continue into EDFX 350. Note: Not open to first year students. Students may only receive credit for one of EDSE 352, EDSE 355, EDSE 360, or EDSE 364.",LECTURE R02 (45565),2023-01-05 - 2023-03-10 MW 14:00 - 16:20 (ED 366),Marlene McDonald
EDSE 356 - Curriculum and Teaching for Secondary School Science Minor,"Prerequisite: *9 in the Minor subject area; pre/corequisites: EDU 100 or 300, EDU 210, and EDU 211. Note: EDSE 356 is not open to first year students or students whose Major is Biological Sciences, Chemistry, General Sciences, Physical Sciences or Physics. Students may only receive credit for one of EDSE 353, EDSE 356, EDSE 361, or EDSE 366.",LECTURE R01 (45566),2023-01-05 - 2023-03-10 MW 14:00 - 16:20 (ED 358),Kerry Rose
EDSE 356 - Curriculum and Teaching for Secondary School Science Minor,"Prerequisite: *9 in the Minor subject area; pre/corequisites: EDU 100 or 300, EDU 210, and EDU 211. Note: EDSE 356 is not open to first year students or students whose Major is Biological Sciences, Chemistry, General Sciences, Physical Sciences or Physics. Students may only receive credit for one of EDSE 353, EDSE 356, EDSE 361, or EDSE 366.",LECTURE R02 (45567),2023-01-05 - 2023-03-10 MW 14:00 - 16:20 (ED 366),Marlene McDonald
EDSE 373 - Curriculum and Teaching for Secondary School Social Studies Majors I,"Prerequisites: *9 in the Major subject area, EDPY 304, EDU 100/300, 210, and 211. Corequisite: Courses in the Introductory Professional Term (IPT) for the Secondary Education Route. Successful completion of the on-campus portion of the IPT is expected prior to being granted permission to continue into EDFX 350. Note: Not open to first year students.",LECTURE R01 (42667),2023-01-05 - 2023-03-10 MW 11:00 - 13:20 (ED 255),Sean Lessard
EDSE 373 - Curriculum and Teaching for Secondary School Social Studies Majors I,"Prerequisites: *9 in the Major subject area, EDPY 304, EDU 100/300, 210, and 211. Corequisite: Courses in the Introductory Professional Term (IPT) for the Secondary Education Route. Successful completion of the on-campus portion of the IPT is expected prior to being granted permission to continue into EDFX 350. Note: Not open to first year students.",LECTURE R02 (42652),2023-01-05 - 2023-03-10 MW 14:00 - 16:20 (ED 221),Sean Lessard
EDSE 374 - Curriculum and Teaching for Secondary School Social Studies Minors,"Prerequisite: *9 in the Minor subject area; pre/corequisites: EDU 100 or 300, EDU 210, and EDU 211. Note: EDSE 374 is not open to first year students or students whose Major is Social Studies.",LECTURE R01 (42701),2023-01-05 - 2023-03-10 MW 11:00 - 13:20 (ED 255),Sean Lessard
EDSE 374 - Curriculum and Teaching for Secondary School Social Studies Minors,"Prerequisite: *9 in the Minor subject area; pre/corequisites: EDU 100 or 300, EDU 210, and EDU 211. Note: EDSE 374 is not open to first year students or students whose Major is Social Studies.",LECTURE R02 (42657),2023-01-05 - 2023-03-10 MW 14:00 - 16:20 (ED 221),Sean Lessard
EDSE 401 - Conference Seminar,May require payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.,LECTURE 850 (48391) ONLINE,2023-01-07 10:00 - 12:00 2023-01-21 10:00 - 12:00 2023-02-04 10:00 - 12:00 2023-02-18 10:00 - 12:00 2023-03-04 10:00 - 12:00 2023-03-18 10:00 - 12:00 2023-04-01 10:00 - 12:00,Gregory Thomas
EDSE 401 - Conference Seminar,May require payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.,LECTURE 851 (48392) ONLINE,No scheduled class times,Bonita Watt
EDSE 409 - Indigenous Curriculum and Pedagogy,"This course is designed to help educators better understand and interpret the significance of recent curricular initiatives in Alberta and across Canada that emphasize Indigenous perspectives across subject areas and grade levels. The class will consider the philosophies and wisdom traditions of Indigenous knowledge systems and the curricular and pedagogical implications of these. The class will also focus in on particular subject area concerns, individually and collectively, and consider the critical contributions that Indigenous knowledge systems and perspectives could play in these classroom contexts. One of the unifying messages of this course is that Indigenous curriculum perspectives provide a unique opportunity for teachers to creatively rethink and reframe their approaches to teaching and learning. Credit may only be obtained for one of EDSE 409 or EDES 409.",LECTURE B01 (42782),2023-01-05 - 2023-04-12 TH 14:30 - 16:20 (ED 327),Etienna Moostoos-Lafferty
EDSE 412 - Curriculum and Teaching in Secondary School Art Majors II,Prerequisites: Introductory Professional Term and *24 in the Major Subject area. Corequisite: EDSE 451. Successful completion is expected prior to being granted permission to commence EDFX 450.,LECTURE S01 (42619),2023-01-05 - 2023-02-02 MW 09:00 - 12:20 (ED 401),Teta Engram
