,Courses
5396,"
                                    GREEK 481 - Topics in Greek Epic
                            "
5397,"
                                    GREEK 482 - Topics in Greek Poetry
                            "
5398,"
                                    GREEK 499 - Individual Study in Greek Authors
                            "
5399,"
                                    GREEK 500 - Fourth-Year Honors Tutorial
                            "
5400,"
                                    GREEK 501 - Topics in Greek Epic
                            "
5401,"
                                    GREEK 505 - Topics in Greek Poetry
                            "
5402,"
                                    GREEK 507 - Topics in Greek Historiography
                            "
5403,"
                                    GREEK 509 - Topics in Greek Prose
                            "
5404,"
                                    GREEK 575 - Topics in Greek Drama
                            "
5405,"
                                    GREEK 599 - Supervised Reading
                            "
5406,"
                                    GREEK 699 - Conference Course
                            "
5407,"
                                    GSJ 500 - Directed Reading in Gender and Social Justice
                            "
5408,"
                                    GSJ 501 - Social Justice Workshop
                            "
5409,"
                                    GSJ 502 - Gender Research Workshop
                            "
5410,"
                                    GSJ 503 - Approaches to Gender and Social Justice Studies
                            "
5411,"
                                    GSJ 504 - Feminist Cultural Studies
                            "
5412,"
                                    GSJ 506 - Feminist Legal Studies
                            "
5413,"
                                    GSJ 507 - Feminist Theory Now
                            "
5414,"
                                    GSJ 508 - Feminist Historiography
                            "
5415,"
                                    GSJ 515 - Gender, Violence, and Social Justice in Africa
                            "
5416,"
                                    GSJ 520 - Law and Feminism in Canada
                            "
5417,"
                                    GSJ 525 - Data, Power, Feminism
                            "
5418,"
                                    GSJ 531 - Feminism and Sexual Assault
                            "
5419,"
                                    GSJ 540 - Body Politics
                            "
5420,"
                                    GSJ 555 - Religion, Spirituality, and Social Justice
                            "
5421,"
                                    GSJ 560 - Masculinities
                            "
5422,"
                                    GSJ 570 - Sexualities
                            "
5423,"
                                    GSJ 575 - Indigenous Genders and Sexualities
                            "
5424,"
                                    GSJ 598 - Special Topics - Topics in Gender and Social Justice Studies
                            "
5425,"
                                    GSJ 599 - Special Topics in Feminist Theory
                            "
5426,"
                                    GSJ 900 - Directed Research Project
                            "
5427,"
                                    GSJ 903 - Directed Research Project
                            "
5428,"
                                    GSJ 906 - Directed Research Project
                            "
5429,"
                                    GSJ 909 - Directed Research Project
                            "
5430,"
                                    GTOTC 100 - Dynamique du tourisme
                            "
5431,"
                                    GTOTC 101 - Attraits naturels et activités
                            "
5432,"
                                    GTOTC 120 - Attraits patrimoniaux
                            "
5433,"
                                    GTOTC 150 - Outils technologiques du tourisme
                            "
5434,"
                                    GTOTC 220 - Cultures et authenticité
                            "
5435,"
                                    GTOTC 231 - Région du monde
                            "
5436,"
                                    GTOTC 232 - Guide touristique
                            "
5437,"
                                    GTOTC 240 - Conception d'expérience 1
                            "
5438,"
                                    GTOTC 241 - Conception d'expérience 2
                            "
5439,"
                                    GTOTC 242 - Gestion d'évènements
                            "
5440,"
                                    GTOTC 245 - Gestion de l'hébergement touristique
                            "
5441,"
                                    GTOTC 260 - Tourisme durable et qualité
                            "
5442,"
                                    GTOTC 262 - Tourisme culinaire et rural
                            "
5443,"
                                    GTOTC 280A - Développement de projet régional
                            "
5444,"
                                    GTOTC 280B - Développement de projet régional
                            "
5445,"
                                    GTOTC 300 - Stage en milieu de travail
                            "
5446,"
                                    HADVC 100 - Introduction to the History of Art, Design, and Visual Culture
                            "
5447,"
                                    HADVC 202 - History of Art, Design, and Visual Culture in the Renaissance
                            "
5448,"
                                    HADVC 203 - History of Art, Design, and Visual Culture in the 17th Century
                            "
5449,"
                                    HADVC 205 - History of Art, Design, and Visual Culture, 1700-1848
                            "
5450,"
                                    HADVC 206 - History of Art, Design, and Visual Culture in the Early 20th Century
                            "
5451,"
                                    HADVC 208 - History of Art, Design, and Visual Culture in the United States
                            "
5452,"
                                    HADVC 209 - History of Modern Design
                            "
5453,"
                                    HADVC 210 - History of Photography
                            "
5454,"
                                    HADVC 211 - Special Topics in the History of Art, Design and Visual Culture
                            "
5455,"
                                    HADVC 213 - History of Art, Design, and Visual Culture in Latin America
                            "
5456,"
                                    HADVC 214 - Perspectives on the Arts of China
                            "
5457,"
                                    HADVC 215 - China Art Now
                            "
5458,"
                                    HADVC 216 - China's Design Revolution
                            "
5459,"
                                    HADVC 217 - History of Art, Design, and Visual Culture in Japan
                            "
5460,"
                                    HADVC 226 - Gender, Sexuality and Visual Culture
                            "
5461,"
                                    HADVC 246 - History of Art, Design and Visual Culture in the Mid-20th Century
                            "
5462,"
                                    HADVC 255 - History of Art, Design, and Visual Culture, 1848-1900
                            "
5463,"
                                    HADVC 256 - History of Art, Design, and Visual Culture in the Contemporary Era
                            "
5464,"
                                    HADVC 257 - History of Art, Design, and Visual Culture in Canada
                            "
5465,"
                                    HADVC 301 - Geographies of Art, Design, and Visual Culture
                            "
5466,"
                                    HADVC 306 - Modernism and Modernity
                            "
5467,"
                                    HADVC 309 - Design Theory and History
                            "
5468,"
                                    HADVC 311 - Issues in the History of Art, Design and Visual Culture
                            "
5469,"
                                    HADVC 315 - China Urban: Art & Design Now
                            "
5470,"
                                    HADVC 326 - Feminist Art: In Theory and Practice
                            "
5471,"
                                    HADVC 330 - Art and Institutions
                            "
5472,"
                                    HADVC 336 - Introduction to Performance Art
                            "
5473,"
                                    HADVC 346 - Introduction to Critical Theory in the History of Art, Design, and Visual Culture
                            "
5474,"
                                    HADVC 400 - Theory and Methods in Art, Design and Visual Culture
                            "
5475,"
                                    HADVC 403 - Topics in Early Modern Art, Design and Visual Culture
                            "
5476,"
                                    HADVC 406 - Topics in Art, Design and Visual Culture in the Early 20th Century
                            "
5477,"
                                    HADVC 409 - Topics in the History of Design
                            "
5478,"
                                    HADVC 411 - Special Topics in the History of Art, Design and Visual Culture
                            "
5479,"
                                    HADVC 412 - Topics in Asian Art, Design and Visual Culture
                            "
5480,"
                                    HADVC 418A - Special Subject, Fourth-Year Honors
                            "
5481,"
                                    HADVC 418B - Special Subject, Fourth-Year Honors
                            "
5482,"
                                    HADVC 455 - Topics in Art, Design and Visual Culture in the Second Half of the 19th Century
                            "
5483,"
                                    HADVC 456 - Topics in Art, Design and Visual Culture from the Mid-20th Century to the Present
                            "
5484,"
                                    HADVC 503 - Advanced Studies in Early Modern Art, Design and Visual Culture
                            "
5485,"
                                    HADVC 506 - Advanced Studies in Art, Design and Visual Culture in the Early 20th Century
                            "
5486,"
                                    HADVC 509 - Advanced Studies in the History of Design
                            "
5487,"
                                    HADVC 511 - Advanced Special Topics in Art, Design and Visual Culture
                            "
5488,"
                                    HADVC 512 - Advanced Studies in Asian Art, Design and Visual Culture
                            "
5489,"
                                    HADVC 555 - Advanced Studies in Art, Design and Visual Culture in the Second Half of the 19th Century
                            "
5490,"
                                    HADVC 556 - Advanced Studies in Art, Design and Visual Culture from the Mid-20th Century to the Present
                            "
5491,"
                                    HADVC 600 - Advanced Theory and Methods in Art, Design and Visual Culture
                            "
5492,"
                                    HADVC 611 - Special Topics in Art History
                            "
5493,"
                                    HADVC 677 - Graduate Research Seminar
                            "
5494,"
                                    HADVC 900 - Directed Research Project
                            "
5495,"
                                    HE ED 110 - Introduction to Personal Health and Well-Being
                            "
5496,"
                                    HE ED 120 - Introduction to the Biological Aspects of Fitness to Health
                            "
5497,"
                                    HE ED 221 - Population Health
                            "
5498,"
                                    HE ED 320 - Social Dimensions of Health and Health Promotion
                            "
5499,"
                                    HE ED 321 - Psychological Dimensions of Health Promotion
                            "
5500,"
                                    HE ED 421 - Psychological and Behavioural Aspects of Chronic Disease Management
                            "
5501,"
                                    HE ED 499 - Directed Studies
                            "
5502,"
                                    HEBR 201A - Biblical Hebrew
                            "
5503,"
                                    HEBR 201B - Biblical Hebrew
                            "
5504,"
                                    HEBR 210 - Introduction to Biblical Hebrew I
                            "
5505,"
                                    HEBR 211 - Introduction to Biblical Hebrew II
                            "
5506,"
                                    HECOL 100 - Introduction to Principles and Practice in Human Ecology
                            "
5507,"
                                    HECOL 170 - Introduction to Textiles
                            "
5508,"
                                    HECOL 201 - Introduction to Material Culture
                            "
5509,"
                                    HECOL 210 - Intimate Relationships
                            "
5510,"
                                    HECOL 211 - Human Sexuality
                            "
5511,"
                                    HECOL 214 - Seniors and Their Environments
                            "
5512,"
                                    HECOL 241 - Fashion Industries
                            "
5513,"
                                    HECOL 250 - Design Studies and Practices
                            "
5514,"
                                    HECOL 254 - Apparel Design and Construction Fundamentals
                            "
5515,"
                                    HECOL 268 - Survey of Historic Dress in the Western World
                            "
5516,"
                                    HECOL 270 - Applications of Textile Science
                            "
5517,"
                                    HECOL 300 - Policy Development and Evaluation
                            "
5518,"
                                    HECOL 301 - Program Planning and Evaluation
                            "
5519,"
                                    HECOL 313 - Family Dynamics
                            "
5520,"
                                    HECOL 315 - Interviewing and Counseling
                            "
5521,"
                                    
                                        Starting: 2023-09-01
                                    
                                    HECOL 315 - Interviewing and Counseling
                            "
5522,"
                                    HECOL 321 - Introduction to Family Finance
                            "
5523,"
                                    HECOL 322 - Family Economic Issues
                            "
5524,"
                                    HECOL 333 - Cross-Cultural Textiles
                            "
5525,"
                                    HECOL 354 - Apparel Design and Product Development I
                            "
5526,"
                                    HECOL 360 - Dress and Culture
                            "
5527,"
                                    HECOL 368 - Fashion History: Interpretations & Exhibition
                            "
5528,"
                                    HECOL 370 - Quality Assurance for Textiles and Apparel
                            "
5529,"
                                    HECOL 372 - Environmental Sustainability in Textiles
                            "
5530,"
                                    HECOL 408 - Intentional Professional Practice
                            "
5531,"
                                    HECOL 409 - Practicum in Human Ecology
                            "
5532,"
                                    HECOL 410 - Parent-Child Relationships
                            "
5533,"
                                    HECOL 412 - Family Challenges
                            "
5534,"
                                    HECOL 413 - Working With Families
                            "
5535,"
                                    HECOL 415 - Families and Aging
                            "
5536,"
                                    HECOL 440 - Family Policy Issues
                            "
5537,"
                                    
                                        Starting: 2023-09-01
                                    
                                    HECOL 440 - Family Policy Issues
                            "
5538,"
                                    HECOL 441 - Textiles and Apparel in the Global Economy
                            "
5539,"
                                    HECOL 443 - Family Law
                            "
5540,"
                                    HECOL 454 - Apparel Design and Product Development II
                            "
5541,"
                                    HECOL 462 - Material Culture in Home and Community
                            "
5542,"
                                    HECOL 464 - Fashion and Material Culture: Politics, Economies, Societies, c. 1600-1900
                            "
5543,"
                                    HECOL 465 - Research Methods for Material Culture and Design Studies
                            "
5544,"
                                    HECOL 469 - Material Culture in Practice
                            "
5545,"
                                    HECOL 470 - Advanced Materials for Protective Clothing
                            "
5546,"
                                    
                                        Starting: 2023-09-01
                                    
                                    HECOL 470 - Advanced Materials for Protective Clothing
                            "
5547,"
                                    HECOL 473 - Clothing and Materials for Sport and Safety
                            "
5548,"
                                    HECOL 474 - Introduction to Nanotechnologies and Smart Textiles
                            "
5549,"
                                    
                                        Starting: 2023-09-01
                                    
                                    HECOL 474 - Introduction to Nanotechnologies and Smart Textiles
                            "
5550,"
                                    HECOL 476 - Textile Analysis and Care
                            "
5551,"
                                    HECOL 490 - Independent Investigation in Human Ecology
                            "
5552,"
                                    HECOL 492 - Selected Topics in Family Ecology
                            "
5553,"
                                    HECOL 493 - Selected Topics in Textiles and Clothing
                            "
5554,"
                                    HECOL 501 - Independent Project in Human Ecology
                            "
5555,"
                                    HECOL 508 - Graduate Intentional Professional Practice
                            "
5556,"
                                    HECOL 522 - Introduction to Structural Equation Modeling
                            "
5557,"
                                    HECOL 532 - Family Health and Wellness; Theoretical and  Measurement Issues for Research and Practice
                            "
5558,"
                                    HECOL 550 - Selected Topics in Human Ecology
                            "
5559,"
                                    HECOL 562 - Material Culture in the Home and Community
                            "
5560,"
                                    HECOL 565 - Material Culture and Design Studies: Methods of Qualitative Analysis
                            "
5561,"
                                    HECOL 569 - Material Culture in Practice
                            "
5562,"
                                    HECOL 570 - Advanced Materials for Protective Clothing
                            "
5563,"
                                    HECOL 571 - Review of Literature in Clothing, Textiles and Material Culture Studies
                            "
5564,"
                                    HECOL 573 - Clothing and Materials for Sport and Safety
                            "
5565,"
                                    HECOL 574 - Introduction to Nanotechnologies and Smart Textiles
                            "
5566,"
                                    HECOL 575 - Fundamentals of Human Comfort in Protective Clothing
                            "
5567,"
                                    HECOL 576 - Textile Analysis and Care
                            "
5568,"
                                    HECOL 579 - Research Methods in Textile and Apparel Science
                            "
5569,"
                                    HECOL 601 - Ways of Knowing in Human Ecology
                            "
5570,"
                                    HECOL 604 - Fundamentals of Aging
                            "
5571,"
                                    HECOL 610 - Review of Issues and Trends in Family Ecology and Practice
                            "
5572,"
                                    HECOL 611 - Theory in Family Ecology
                            "
5573,"
                                    HECOL 612 - Family Challenges
                            "
5574,"
                                    HECOL 613 - Graduate Practicum in Human Ecology
                            "
5575,"
                                    HECOL 613A - Graduate Practicum in Human Ecology
                            "
5576,"
                                    HECOL 613B - Graduate Practicum in Human Ecology
                            "
5577,"
                                    HECOL 615 - Families and Aging
                            "
5578,"
                                    HECOL 617 - Intimate Relationships
                            "
5579,"
                                    HECOL 619 - Work-Family Integration
                            "
5580,"
                                    HECOL 640 - Family Policy Issues
                            "
5581,"
                                    HECOL 654 - Research Project in Human Ecology
                            "
5582,"
                                    HECOL 654A - Research Project in Human Ecology
                            "
5583,"
                                    HECOL 654B - Research Project in Human Ecology
                            "
5584,"
                                    HECOL 661 - Perspectives on Material Culture and Design Studies
                            "
5585,"
                                    HECOL 662 - Themes in Material Culture and Design Studies
                            "
5586,"
                                    HECOL 664 - Fashion and Material Culture: Politics, Economies, Societies, c. 1600-1900
                            "
5587,"
                                    HECOL 668 - Material Culture and Curatorship
                            "
5588,"
                                    HECOL 671 - Topics in Family Science and Aging
                            "
5589,"
                                    HECOL 672 - Topics in Material Culture
                            "
5590,"
                                    HECOL 673 - Topics in Textiles and Clothing
                            "
5591,"
                                    HECOL 682 - Program Planning and Evaluation
                            "
5592,"
                                    HECOL 691 - Professional Seminar 1
                            "
5593,"
                                    HECOL 692 - Professional Seminar 2
                            "
5594,"
                                    HECOL 693 - Professional Seminar 3
                            "
5595,"
                                    HECOL 694 - Professional Seminar 4
                            "
5596,"
                                    HECOL 900 - Directed Research Project
                            "
5597,"
                                    HECOL 900A - Directed Research Project
                            "
5598,"
                                    HECOL 900B - Directed Research Project
                            "
5599,"
                                    HGEO 100 - Introduction to Human Geography and Planning
                            "
5600,"
                                    HGEO 240 - Cities and Urbanism
                            "
5601,"
                                    HGEO 250 - Sustainable Development and Environmental Management
                            "
5602,"
                                    HGEO 252 - Human Dimensions of Environmental Hazards
                            "
5603,"
                                    HGEO 341 - Social and Cultural Geography
                            "
5604,"
                                    HGEO 342 - The Spatial Economy
                            "
5605,"
                                    HGEO 343 - Geographies of Health and Health Care
                            "
5606,"
                                    HGEO 381 - Topics In Human Geography
                            "
5607,"
                                    HGEO 382 - Topics in Regional Geography
                            "
5608,"
                                    HGEO 399 - Research Methods in Human Geography
                            "
5609,"
                                    HGEO 443 - Environment and Health
                            "
5610,"
                                    HGEO 450 - Resource Management and Environmental Policy
                            "
5611,"
                                    HGEO 452 - Human Dimensions of Environmental Change
                            "
5612,"
                                    HGEO 470 - Geographical Information Systems for Social Science
                            "
5613,"
                                    HGEO 481 - Advanced Topics in Human Geography
                            "
5614,"
                                    HGEO 496 - Undergraduate Thesis
                            "
5615,"
                                    HGEO 496A - Undergraduate Thesis
                            "
5616,"
                                    HGEO 496B - Undergraduate Thesis
                            "
5617,"
                                    HGEO 497A - Directed Study in Human Geography or Planning I
                            "
5618,"
                                    HGEO 497B - Directed Study in Human Geography or Planning I
                            "
5619,"
                                    HGEO 499 - Human Geography Field School
                            "
5620,"
                                    HGEO 499A - Human Geography Field School
                            "
5621,"
                                    HGEO 499B - Human Geography Field School
                            "
5622,"
                                    HGEO 543 - Advanced Environment and Health
                            "
5623,"
                                    HGEO 550 - Advanced Resource Management and Environmental Policy
                            "
5624,"
                                    HGEO 552 - Advanced Human Dimensions of Global Change
                            "
5625,"
                                    HGEO 570 - Advanced Geographical Information Systems for Social Science
                            "
5626,"
                                    HGEO 581 - Advanced Issues in Human Geography
                            "
5627,"
                                    HGEO 599 - Advanced Human Geography Field School
                            "
5628,"
                                    HGEO 599A - Advanced Human Geography Field School
                            "
5629,"
                                    HGEO 599B - Advanced Human Geography Field School
                            "
5630,"
                                    HINDI 111 - Beginners' Hindi I
                            "
5631,"
                                    HINDI 112 - Beginners' Hindi II
                            "
5632,"
                                    HIST 104 - The Atomic Age: The World After 1945
                            "
5633,"
                                    HIST 110 - The Pre-Modern World
                            "
5634,"
                                    HIST 111 - The Early Modern World
                            "
5635,"
                                    HIST 112 - The Modern World
                            "
5636,"
                                    HIST 114 - The History of the World in the Last 10 Years
                            "
5637,"
                                    HIST 115 - Technology and History
                            "
5638,"
                                    HIST 116 - The Emergence of the Atlantic World
                            "
5639,"
                                    HIST 121 - Topics in Global History
                            "
5640,"
                                    HIST 123 - Plague: Disease and Epidemics in History
                            "
5641,"
                                    HIST 124 - History of Sexuality in the Americas
                            "
5642,"
                                    HIST 127 - Drugs in Modern Global History
                            "
5643,"
                                    HIST 128 - War, Revolution, and Society
                            "
5644,"
                                    HIST 130 - Democracy, War and Consumer Capitalism: The Making of Modern Europe
                            "
5645,"
                                    HIST 134 - Global History of Alchemy: Quests for Gold, Power, and Immortality
                            "
5646,"
                                    HIST 135 - Origins of Ancient India: Cities, Migrations and Peoples
                            "
5647,"
                                    HIST 179 - Sex Work and Intimate Labour in Global History
                            "
5648,"
                                    HIST 191 - Video Games, History, and Storytelling
                            "
5649,"
                                    HIST 195 - Warfare Since 1789: From Mass Armies to Thermonuclear War
                            "
5650,"
                                    HIST 205 - Capitalism
                            "
5651,"
                                    HIST 206 - Women and Gender in Modern Europe
                            "
5652,"
                                    HIST 207 - From Constantine to the Cathedral: Europe in the Middle Ages
                            "
5653,"
                                    HIST 210 - Europe in the 19th and 20th Centuries
                            "
5654,"
                                    HIST 212 - Early Modern Europe
                            "
5655,"
                                    HIST 219 - Famine as Genocide in the 20th Century: The Case of the Holodomor
                            "
5656,"
                                    HIST 220 - The Making of the Modern Middle East
                            "
5657,"
                                    HIST 228 - The Early History of the British Peoples
                            "
5658,"
                                    HIST 229 - Britain and Its Peoples in the Modern Era
                            "
5659,"
                                    HIST 231 - Scotland from Early Times to the Present Day
                            "
5660,"
                                    HIST 232 - Ireland from Early Times to the Present Day
                            "
5661,"
                                    HIST 237 - The Pacific World Since 1500
                            "
5662,"
                                    HIST 241 - Colonial Latin America
                            "
5663,"
                                    HIST 242 - Modern Latin America
                            "
5664,"
                                    HIST 243 - The Golden Age of Islam: History of the Muslim World to the 16th Century
                            "
5665,"
                                    HIST 246 - Africa from Medieval to Modern Times
                            "
5666,"
                                    HIST 247 - Africa in the 20th and 21st Centuries: From Colonial Rule to Modern Nations
                            "
5667,"
                                    HIST 250 - American History to 1865
                            "
5668,"
                                    HIST 251 - From the End of Slavery to the Present: American History Since 1865
                            "
5669,"
                                    HIST 252 - Slavery in the Americas
                            "
5670,"
                                    HIST 260 - Pre-Confederation Canada
                            "
5671,"
                                    HIST 261 - Post-Confederation Canada
                            "
5672,"
                                    HIST 272 - Religion in History
                            "
5673,"
                                    HIST 280 - East Asia to 1500
                            "
5674,"
                                    HIST 281 - East Asia from 1500
                            "
5675,"
                                    HIST 285 - China and the West
                            "
5676,"
                                    HIST 287 - The Chinese in Canada and Canadians in China
                            "
5677,"
                                    HIST 289 - Classical India to 500 CE
                            "
5678,"
                                    HIST 290 - Introduction to History as a Discipline
                            "
5679,"
                                    HIST 291 - World War One
                            "
5680,"
                                    HIST 292 - Medieval India from 500 to 1500 CE
                            "
5681,"
                                    HIST 293 - History of Science, Technology and Medicine: Key Moments
                            "
5682,"
                                    HIST 294 - An Introduction to the History of Sciences, Technology, and Medicine
                            "
5683,"
                                    HIST 295 - 20th-Century Warfare
                            "
5684,"
                                    HIST 296 - World War Two
                            "
5685,"
                                    HIST 297 - The History of Christianity
                            "
5686,"
                                    HIST 298 - State and Society in Mughal India
                            "
5687,"
                                    HIST 299 - Gandhi, Resistance, and Non-violence
                            "
5688,"
                                    HIST 300 - Topics in European History
                            "
5689,"
                                    HIST 301 - Europe in the Age of Total War, 1890-1945
                            "
5690,"
                                    HIST 302 - Germany in the 20th Century and Beyond
                            "
5691,"
                                    HIST 303 - Saints and Medieval Christianity
                            "
5692,"
                                    HIST 305 - France: Old Regime and Revolution  (1600-1815)
                            "
5693,"
                                    HIST 306 - France in the 20th Century and Beyond
                            "
5694,"
                                    HIST 308 - Sexuality and Gender in Modern Europe
                            "
5695,"
                                    HIST 309 - The History of Paris
                            "
5696,"
                                    HIST 310 - A History of the Habsburg Monarchy, 1526-1918
                            "
5697,"
                                    HIST 311 - History of Vienna
                            "
5698,"
                                    HIST 312 - Foundations of East European History
                            "
5699,"
                                    HIST 313 - Medieval and Early Imperial Russia
                            "
5700,"
                                    HIST 315 - Topics in Global History
                            "
5701,"
                                    HIST 318 - Modern Ukraine
                            "
5702,"
                                    HIST 320 - Russia from Reform to Revolution, 1800-1917
                            "
5703,"
                                    HIST 322 - Russia in the 20th Century
                            "
5704,"
                                    HIST 323 - The Middle East in the Making: 1300-1920
                            "
5705,"
                                    HIST 326 - Topics in History at the Movies
                            "
5706,"
                                    HIST 338 - Topics in Indigenous History
                            "
5707,"
                                    HIST 339 - The Modern British Empire and the Commonwealth Experience
                            "
5708,"
                                    HIST 342 - Political and Social Revolution in Latin America
                            "
5709,"
                                    HIST 344 - Global Environmental History
                            "
5710,"
                                    HIST 345 - Topics in Latin American History
                            "
5711,"
                                    HIST 348 - History of the Contemporary Middle East
                            "
5712,"
                                    HIST 349 - Topics in Middle East History
                            "
5713,"
                                    HIST 350 - Slavery and Abolition in Africa
                            "
5714,"
                                    HIST 351 - History of Women in the United States
                            "
5715,"
                                    HIST 352 - African American History from Slavery to Black Power
                            "
5716,"
                                    HIST 353 - History of American Medicine
                            "
5717,"
                                    HIST 359 - Canadian Environmental History
                            "
5718,"
                                    HIST 360 - Topics in Canadian History
                            "
5719,"
                                    HIST 362 - History of Alberta
                            "
5720,"
                                    HIST 365 - The Canadian West to 1885
                            "
5721,"
                                    HIST 366 - The Canadian West Since 1885
                            "
5722,"
                                    HIST 368 - Histories of Indigenous Peoples and Kanata until 1870
                            "
5723,"
                                    HIST 369 - Histories of Indigenous Peoples and Kanata after 1870
                            "
5724,"
                                    HIST 370 - Making War in Canada
                            "
5725,"
                                    HIST 371 - History of Women in Canadian Society
                            "
5726,"
                                    HIST 373 - Peasants, Slaves and Workers
                            "
5727,"
                                    HIST 376 - Canada 1900 to 1945
                            "
5728,"
                                    HIST 377 - Canada Since 1945
                            "
5729,"
                                    HIST 378 - Topics in the History of the United States
                            "
5730,"
                                    HIST 379 - Religion in Modern Europe
                            "
5731,"
                                    HIST 382 - History of Modern Japan
                            "
5732,"
                                    HIST 383 - The Civilization and Culture of Early China
                            "
5733,"
                                    HIST 384 - History of Chinese Philosophy
                            "
5734,"
                                    HIST 385 - Modern China
                            "
5735,"
                                    HIST 386 - History of Science in Ancient and Classical India
                            "
5736,"
                                    HIST 387 - History of Indian Yoga and Meditation
                            "
5737,"
                                    HIST 390 - Imperial China from circa 600 to 1911
                            "
5738,"
                                    HIST 391 - History of Technology
                            "
5739,"
                                    HIST 392 - Ancient India- Diversity in History
                            "
5740,"
                                    HIST 394 - History of Astronomy and Cosmology from Stonehenge to the Space Age
                            "
5741,"
                                    HIST 395 - The Early British Empire
                            "
5742,"
                                    HIST 396 - Topics in South Asian History
                            "
5743,"
                                    HIST 397 - History of Science I
                            "
5744,"
                                    HIST 398 - History of Science II
                            "
5745,"
                                    HIST 401 - Topics in the History of the Habsburg Monarchy
                            "
5746,"
                                    HIST 403 - Topics in Medieval European History
                            "
5747,"
                                    HIST 405 - Fashion and Material Culture c. 1600-1900
                            "
5748,"
                                    HIST 414 - Topics in the History of Modern Germany
                            "
5749,"
                                    HIST 416 - Topics in Eastern European History
                            "
5750,"
                                    HIST 419 - Topics in Soviet History
                            "
5751,"
                                    HIST 420 - Topics in the History of Early Modern Europe
                            "
5752,"
                                    HIST 421 - Topics in the History of Europe
                            "
5753,"
                                    HIST 427 - Topics in Indian History
                            "
5754,"
                                    HIST 428 - Topics in the History of Christianity
                            "
5755,"
                                    HIST 429 - Topics in British History
                            "
5756,"
                                    HIST 435 - Gender and the Colonial Encounter
                            "
5757,"
                                    HIST 436 - Postcolonialism and History
                            "
5758,"
                                    HIST 442 - Topics in Latin American History Since 1850
                            "
5759,"
                                    HIST 444 - Topics in Transnational History
                            "
5760,"
                                    HIST 446 - Themes and Issues in African History
                            "
5761,"
                                    HIST 449 - Advanced Topics in Middle East History
                            "
5762,"
                                    HIST 450 - Topics in American History
                            "
5763,"
                                    HIST 453 - Topics in 20th-Century America
                            "
